Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
8.6337,360.73,165.53,0.46508
8.7729,353.52,164.11,0.47047
9.1826,333.66,159.67,0.4855
9.413,321.56,157.43,0.49678
9.7307,305.08,153.59,0.51153
9.868,297.89,152.29,0.5184
10.303,276.38,147.11,0.53849
10.653,260.11,141.83,0.55302
10.919,248.65,138.68,0.56405
11.204,237.78,135.09,0.57646
11.426,228.03,131.88,0.58485
11.809,213.77,126.41,0.59866
11.923,209.61,124.95,0.60344
12.447,189.91,117.85,0.62679
12.654,183.47,115.19,0.63497
12.978,172.91,110.71,0.64632
13.24,165.44,107.34,0.6551
13.501,157.64,103.79,0.66348
13.727,152.27,101.17,0.66974
14.006,145.02,97.739,0.67897
14.364,135.93,93.195,0.69083
14.513,132.05,91.245,0.69644
14.896,123.03,86.589,0.70879
15.064,119.31,84.612,0.71437
15.319,113.73,81.711,0.72404
15.615,108.06,78.449,0.73139
15.868,103.02,75.494,0.73876
16.021,100.06,73.71,0.74208
16.439,92.925,69.427,0.75286
16.696,88.734,66.841,0.75839
17.078,82.318,62.969,0.769
17.143,81.125,62.293,0.77124
17.626,74.1,57.518,0.77837
17.766,72.419,56.279,0.77938
18.185,66.946,52.583,0.78668
18.382,64.906,51.023,0.78785
18.684,61.288,48.456,0.79193
18.916,59.05,46.806,0.79479
19.228,55.896,44.489,0.79749
19.467,53.697,42.776,0.79798
19.773,50.949,40.722,0.80056
20.107,48.078,38.54,0.80276
20.315,46.441,37.209,0.80244
20.665,43.947,35.332,0.80474
20.94,41.982,33.812,0.80599
21.248,39.912,32.244,0.80775
21.663,37.462,30.254,0.80678
21.783,36.726,29.655,0.80628
22.202,34.428,27.661,0.80271
22.372,33.583,26.993,0.80335
22.632,32.208,25.892,0.80348
23.079,30.135,24.135,0.79976
23.377,28.701,22.914,0.79729
23.776,26.897,21.455,0.79678
24.229,25.018,19.815,0.791
24.398,24.404,19.301,0.78991
24.728,23.201,18.285,0.78743
25.007,22.161,17.469,0.78701
25.141,21.714,17.1,0.78561
25.447,20.642,16.226,0.78423
25.567,20.231,15.883,0.78326
25.993,18.829,14.657,0.77734
26.12,18.459,14.344,0.77574
26.337,17.774,13.798,0.77482
